mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_min_samples_split
0.7611111111111112,0.12909565000755074,100,5,2
0.767989417989418,0.10064251469352503,200,5,2
0.7465608465608466,0.1172903818634273,300,5,2
0.7462962962962962,0.1218810373372112,100,5,5
0.7677248677248677,0.08756014301961039,200,5,5
0.767989417989418,0.10064251469352503,300,5,5
0.732010582010582,0.10951741923437677,100,5,10
0.7608465608465609,0.09246173671050074,200,5,10
0.767989417989418,0.10064251469352503,300,5,10
0.767989417989418,0.1371217894850833,100,10,2
0.7605820105820105,0.11500484116185612,200,10,2
0.767989417989418,0.13524858990007568,300,10,2
0.7534391534391534,0.10977592840947359,100,10,5
0.767989417989418,0.08097831309929727,200,10,5
0.7608465608465609,0.09246173671050074,300,10,5
0.7537037037037038,0.1094048890461826,100,10,10
0.767989417989418,0.10064251469352503,200,10,10
0.767989417989418,0.1213291082079246,300,10,10
0.767989417989418,0.1371217894850833,100,15,2
0.7605820105820105,0.11500484116185612,200,15,2
0.767989417989418,0.13524858990007568,300,15,2
0.7534391534391534,0.10977592840947359,100,15,5
0.767989417989418,0.08097831309929727,200,15,5
0.7608465608465609,0.09246173671050074,300,15,5
0.7537037037037038,0.1094048890461826,100,15,10
0.767989417989418,0.10064251469352503,200,15,10
0.767989417989418,0.1213291082079246,300,15,10
0.767989417989418,0.1371217894850833,100,,2
0.7605820105820105,0.11500484116185612,200,,2
0.767989417989418,0.13524858990007568,300,,2
0.7534391534391534,0.10977592840947359,100,,5
0.767989417989418,0.08097831309929727,200,,5
0.7608465608465609,0.09246173671050074,300,,5
0.7537037037037038,0.1094048890461826,100,,10
0.767989417989418,0.10064251469352503,200,,10
0.767989417989418,0.1213291082079246,300,,10
