t_s,sensor_id,vx_um_s,vy_um_s,vz_um_s,dx_um,dy_um,dz_um
0.10707009999987349,0,8337.0,3042.0,3255.0,0.0,0.0,0.0
0.10752480000064679,1,7405.0,5217.0,2435.0,0.0,0.0,0.0
0.11358670000026905,0,8337.0,3042.0,3255.0,53.23895946261299,19.42580240917221,20.78599172973555
0.11392710000018269,1,7405.0,5217.0,2435.0,46.474274948322545,32.74224070295729,15.282222754782634
0.12034440000024915,0,8337.0,3042.0,3255.0,107.37957571012544,39.18060085284893,41.92401570546459
0.12041649999991932,1,7405.0,5217.0,2435.0,92.66448241801183,65.2843490580375,30.471035069258445
0.126668900000368,0,8054.0,2958.0,3039.0,156.01793780996712,56.987425628857835,60.58685270108096
0.12701560000004974,1,7405.0,5217.0,2435.0,138.74027665180935,97.7458505459135,45.622224665382284
0.13339610000002722,0,8054.0,2958.0,3039.0,205.9818427773607,75.34400292546175,79.40519052363864
0.1336103000003277,1,7316.0,5251.0,2491.0,183.58798402307727,129.65471086842453,60.645188697021716
0.1397755000007237,0,8054.0,2958.0,3039.0,252.19839800205804,92.3241614834198,96.81023924266995
0.14051840000047378,1,7316.0,5251.0,2491.0,229.51138505287102,162.6575446773893,76.31824498576427
0.14619600000060018,0,7964.0,2898.0,3214.0,297.52901886275436,108.89405171662308,114.53903185479834
0.14717019999989134,1,7144.0,5297.0,2539.0,272.1304258672532,193.84034584805764,91.21291837129993
0.15319880000060948,0,7964.0,2898.0,3214.0,346.2115021544837,126.596420556562,134.29664267669054
0.1535780000003797,1,7144.0,5297.0,2539.0,311.63961110631413,223.29131083609215,105.36311022684802
0.1594599999998536,0,7964.0,2898.0,3214.0,388.1297123688452,141.83760735655792,151.32219542179106
0.15990580000016053,1,7144.0,5297.0,2539.0,349.8095484116593,251.7461909050692,119.0351898200001
0.16634810000050493,1,7144.0,5297.0,2539.0,388.02875482222964,280.23457860863925,132.72268264127356
0.1665478000004441,0,8067.0,2936.0,3484.0,436.0156418734767,159.25242427431357,171.54723636620668
0.17337190000034752,0,8067.0,2936.0,3484.0,481.2140016309839,175.69114444714373,191.40388423151833
0.1734839999999167,1,7344.0,5539.0,2660.0,431.0512991802489,312.6092442045872,148.28983907567218
0.1799166000000696,1,7344.0,5539.0,2660.0,468.861897941562,341.3732328588761,162.13937788980303
0.18001830000048358,0,8067.0,2936.0,3484.0,524.1008542841618,191.2888140870336,210.25548583318437
0.18672109999988606,0,8647.0,3159.0,3939.0,568.4779867672202,207.46820372681842,230.4157411509819
0.1868080000003829,1,7908.0,5628.0,2760.0,511.135041274855,372.361894097342,177.2499690582378
0.19314080000003742,1,7908.0,5628.0,2760.0,550.1494377142735,399.958362509821,190.88906537080115
0.1932529000005161,0,8647.0,3159.0,3939.0,612.4206774084654,223.52602282575407,251.0057847505483
0.19993320000048698,0,8647.0,3159.0,3939.0,656.740117683859,239.7213936498834,271.7559617922631
0.20002840000051947,1,7908.0,5628.0,2760.0,592.6954468664997,430.07156586122,205.76029835095693
0.2063920999999027,0,8944.0,3267.0,4201.0,699.2342966120497,255.24826848542637,292.06439566468015
0.2069455000000744,1,8132.0,5434.0,2816.0,635.390709519463,459.096054810266,220.60799224533653
0.2128379000005225,0,8944.0,3267.0,4201.0,741.7010549761782,270.7634907944508,312.740618318234
0.21334780000051978,1,8132.0,5434.0,2816.0,673.8997846302966,484.1482760504133,233.93170277443966
0.21911309999995865,0,8944.0,3267.0,4201.0,781.8206190464649,285.4212812452105,332.29972647255846
