t_s,sensor_id,vx_um_s,vy_um_s,vz_um_s,dx_um,dy_um,dz_um
0.10620060000110243,0,6262.0,1871.0,3335.0,0.0,0.0,0.0
0.10656550000021525,1,2572.0,976.0,601.0,0.0,0.0,0.0
0.11331500000051165,1,2572.0,976.0,601.0,16.999258666650128,6.450729571792584,3.9722217957452286
0.1134027000007336,0,6479.0,1847.0,2972.0,44.86584064563207,13.092472766694925,22.209313001491363
0.12026970000079018,1,2745.0,1007.0,608.0,34.751452575060476,13.069193104049907,8.006565297240988
0.12035220000143454,0,6479.0,1847.0,2972.0,87.90275768942479,25.354526125787043,41.91485870904212
0.12665110000125424,1,2745.0,1007.0,608.0,51.18309993205419,19.090465250388565,11.639647324973595
0.1272283000016614,0,6479.0,1847.0,2972.0,129.5224268141726,37.21270574762886,60.971092051419184
0.13305690000015602,1,2407.0,923.0,562.0,66.27904789290434,24.747315721742794,15.067545385597642
0.13411960000121326,0,6317.0,1786.0,2784.0,169.7716988123174,48.63043679959155,79.01642277585296
0.1396422000016173,1,2407.0,923.0,562.0,80.42452884131137,30.185489090607398,18.37877709575197
0.1409854000012274,0,6317.0,1786.0,2784.0,208.4270730251685,59.5454758259177,95.95962139762307
0.1461034000003565,1,2723.0,1029.0,610.0,94.98346048144765,35.733912000915105,21.70480765495936
0.1475575000004028,0,6262.0,1747.0,2557.0,244.23619214565275,69.580751897598,110.99894515846563
0.1525820000006206,1,2723.0,1029.0,610.0,110.28616072104185,41.51999399093396,25.124019434350213
0.15390560000014375,0,6262.0,1747.0,2557.0,277.7046314548745,78.88600281334614,124.41599259092234
0.1595831000013277,1,2822.0,1034.0,608.0,127.00370118121634,47.729562426953116,28.777486345406196
0.16080560000045807,0,6262.0,1747.0,2557.0,313.81209868699324,88.92820746053597,138.9161664564385
0.16592470000068715,1,2822.0,1034.0,608.0,141.89101383608448,53.15957171922881,31.955587135647033
0.167566900001475,0,5905.0,1666.0,2473.0,347.0911602808956,98.24350210199069,152.47101690388453
0.17255670000122336,1,2468.0,957.0,556.0,156.122210445125,58.52084128975557,35.071743585513815
0.17401320000135456,0,5905.0,1666.0,2473.0,376.63479855426147,106.57173886965546,164.6865092317846
0.17902670000148646,1,2468.0,957.0,556.0,168.51690766720944,63.36894480232129,37.86614308628074
0.18048780000026454,0,5905.0,1666.0,2473.0,405.688184538161,114.76181426203269,176.700165691948
0.1855509000015445,1,2653.0,1025.0,636.0,181.37618848852117,68.3843920699732,40.88757872299588
0.18739600000117207,0,5985.0,1729.0,2671.0,436.87272315336435,123.68986881993285,190.16536234973998
0.19274600000062492,1,2653.0,1025.0,636.0,196.30235832113004,74.1863097323919,44.51965946662268
0.19421320000037667,0,5985.0,1729.0,2671.0,467.1049191434966,132.4793219421013,203.76373221020555
0.19960620000165363,1,2384.0,931.0,638.0,209.1450233820649,79.21587763554818,47.87446804775683
0.20057330000054208,0,5985.0,1729.0,2671.0,493.99300018482126,140.3014648562247,215.86733116325763
0.20629050000025018,1,2384.0,931.0,638.0,220.40684818121423,83.66491504797878,51.0564414909171
0.2072291000004043,0,5985.0,1729.0,2671.0,522.0167779231131,148.45049264194535,228.47547220373275
0.21272100000169303,1,2607.0,1035.0,572.0,231.5444508106599,88.11763440216698,53.80598227911042
0.2136158000012074,0,6179.0,1868.0,2921.0,548.4513908121943,156.3982946978028,240.88246326739358
0.2191831000000093,1,2607.0,1035.0,572.0,243.23357704978304,92.83736768100844,56.30833150306027
0.2202649000009842,0,6179.0,1868.0,2921.0,576.4924249493997,165.08362085246085,254.5451298534325
0.22570380000070145,1,2438.0,986.0,612.0,254.29003130313382,97.36205258096598,58.9192515115589
0.22682300000087707,0,6179.0,1868.0,2921.0,603.3631904160724,173.4105532971769,267.6455739474259
0.23263430000042717,1,2438.0,986.0,612.0,265.5556995510432,102.03202029572736,61.84925480340319
0.23355110000011337,0,6059.0,1849.0,2755.0,630.2718625292569,181.80127967487581,280.3956712170088
0.23900930000127119,1,2194.0,897.0,598.0,274.4996594689945,105.79087410032949,64.3418144142335
0.24018590000014228,0,6059.0,1849.0,2755.0,655.6376167573214,189.7751598766906,292.06623574369866
0.24547030000030645,1,2194.0,897.0,598.0,282.6810732162618,109.2694226353313,66.78928051320871
0.24707040000066627,0,6059.0,1849.0,2755.0,681.9216001853596,198.024094454036,304.1512866314926
0.2521885000005568,1,1848.0,799.0,534.0,290.1070729342996,112.57930444305104,69.12602114483279
0.2539109000008466,0,6068.0,1728.0,2593.0,707.3934423195468,205.60626803267922,315.30859112771367
0.2591405000002851,1,1848.0,799.0,534.0,296.6638552611652,115.6810310815773,71.3259802481938
0.26091790000100445,0,6068.0,1728.0,2593.0,733.319777766835,212.8973352055162,326.0993961734379
0.2661452000011195,1,1789.0,766.0,528.0,302.9775126154736,118.64640906361221,73.48723932645021
0.26768510000147216,0,6068.0,1728.0,2593.0,757.2495697992213,219.62187803933872,336.0434060124637
0.27257620000091265,1,1789.0,766.0,528.0,307.95268751568767,121.00670711108893,75.28642054248712
0.27407530000164115,0,6023.0,1623.0,2441.0,778.2722850203004,225.23253234667587,344.3365582536065
0.27929370000128984,1,1638.0,663.0,552.0,312.8298239891221,123.19413039283062,77.27531096899604
0.28063960000145016,0,6023.0,1623.0,2441.0,799.7146682933263,230.66729809336857,352.38688615590263
0.285731100000703,1,1638.0,663.0,552.0,316.6597744533831,124.81551597284772,79.15043571310032
0.28738220000013825,0,6023.0,1623.0,2441.0,821.7327694830324,236.2647954033518,360.68469754029167
