rms_s0_x,peak_s0_x,crest_s0_x,kurtosis_s0_x,std_s0_x,mean_abs_s0_x,dominant_freq_s0_x,dominant_amp_s0_x,spectral_energy_s0_x,spectral_centroid_s0_x,spectral_bandwidth_s0_x,rms_s0_y,peak_s0_y,crest_s0_y,kurtosis_s0_y,std_s0_y,mean_abs_s0_y,dominant_freq_s0_y,dominant_amp_s0_y,spectral_energy_s0_y,spectral_centroid_s0_y,spectral_bandwidth_s0_y,rms_s0_z,peak_s0_z,crest_s0_z,kurtosis_s0_z,std_s0_z,mean_abs_s0_z,dominant_freq_s0_z,dominant_amp_s0_z,spectral_energy_s0_z,spectral_centroid_s0_z,spectral_bandwidth_s0_z,rms_s1_x,peak_s1_x,crest_s1_x,kurtosis_s1_x,std_s1_x,mean_abs_s1_x,dominant_freq_s1_x,dominant_amp_s1_x,spectral_energy_s1_x,spectral_centroid_s1_x,spectral_bandwidth_s1_x,rms_s1_y,peak_s1_y,crest_s1_y,kurtosis_s1_y,std_s1_y,mean_abs_s1_y,dominant_freq_s1_y,dominant_amp_s1_y,spectral_energy_s1_y,spectral_centroid_s1_y,spectral_bandwidth_s1_y,rms_s1_z,peak_s1_z,crest_s1_z,kurtosis_s1_z,std_s1_z,mean_abs_s1_z,dominant_freq_s1_z,dominant_amp_s1_z,spectral_energy_s1_z,spectral_centroid_s1_z,spectral_bandwidth_s1_z,label
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.216713007908425,85.0,4.666044854694639,12.624039225224562,17.59782075286423,4.7080078125,1,4785.074688203981,162363234.99999997,0.07067841637226437,0.10727861452003659,15.60483073242065,79.0,5.062534887729947,13.262648686190698,15.073307671140556,4.0380859375,1,4101.765743881236,119120643.00000003,0.07267819537305525,0.1077101874764708,10.329909547038637,50.0,4.840313438594816,12.80284051619548,9.977859209668123,2.673828125,1,2716.669728146724,52196796.00000001,0.08112546616889313,0.11808840511672286,normal
6959.3228418426015,10709.0,1.5387991394238303,-1.8050220434212036,4438.940982974448,5359.8486328125,1,2754578.8922271645,10330614559982.996,0.07562924055466917,0.12048674834028232,2409.223972244486,4236.0,1.7582425082935105,-1.7659218808585522,1542.6999564726395,1850.5234375,1,911571.1919781634,1247756457006.0005,0.0774802901075562,0.12123907793868836,3101.137956303047,5691.0,1.835132806147199,-1.723906209140906,1997.4754526644763,2372.1611328125,1,1191292.7558991965,2091853704858.9995,0.07707418647672384,0.12121040336317755,5517.1787833583085,9645.0,1.7481760839602674,-1.7526682217061915,3554.798107797829,4219.3212890625,1,2273778.1999850026,6625209277795.0,0.08759302677583891,0.12639424340643546,2693.2553575363845,4973.0,1.846464348835076,-1.6142288339532183,1784.069621754429,2017.6025390625,1,1009997.5381203879,1668757929970.9998,0.07280244438794688,0.11933428330646184,2631.219608457205,5369.0,2.04049862761097,-1.644045688034473,1706.4079001244156,2002.8701171875,1,1085271.910444474,1526635793250.9995,0.08252426774649048,0.12382275615038559,normal
9065.489082379085,10989.0,1.2121794974481535,-0.537914033795313,1014.4134980648436,9008.5546875,4,513154.0757272108,539510562798.0,0.08022724258796486,0.12220689091389783,2888.1135092960117,4034.0,1.3967595065137528,-0.33720655695325563,370.10900706246616,2864.30078125,4,219634.19878888578,71817313687.99997,0.07746914265975453,0.1202861279650221,3925.1054134680176,5419.0,1.3805998639950043,0.016464720941621103,558.3438294640647,3885.1904296875,2,250321.14101831178,163445622871.00003,0.08538729774464872,0.12393836223639033,6785.642412922647,9625.0,1.4184360763941894,-1.0902114771795328,1631.2075519540247,6586.6611328125,2,661827.3059168285,1395044569491.0,0.08721906398595732,0.12577636988067548,3569.0203493264435,5058.0,1.417195618106958,-0.11801619354893411,602.0365408994844,3517.876953125,4,231500.88421602116,190026765430.00006,0.0835180652501252,0.1243526099570802,3282.9555045304164,5445.0,1.6585664936627995,0.12161558496688496,688.1425040275205,3210.0244140625,4,288605.4181364682,248269816150.99997,0.08560350683519724,0.12367555107663443,normal
8074.572185479279,11014.0,1.3640351150500298,0.261661090146426,2682.647707171194,7615.912109375,1,1185931.7589911907,3773070706213.9995,0.07746219405829843,0.12017801739077878,2658.007988658694,4175.0,1.570725151246375,0.015128825641053112,912.5100698626125,2496.4638671875,1,462896.47308424715,436560567291.0,0.0786034465152277,0.1219456318740129,3485.8084774139465,5160.0,1.480287868204424,-0.0533377473146226,1163.5909870010914,3285.8662109375,1,604613.6397368228,709850670663.0,0.08237417379951244,0.1239147099009108,5875.345114614146,9691.0,1.6494350222755283,-0.5479523281064691,1383.9763819158732,5710.0166015625,2,573753.5391733724,1004197081762.9999,0.09216387431558831,0.1309517359219642,3629.176043388671,5559.0,1.5317526439994336,-0.5664208674128481,885.9639444334227,3519.373046875,4,409831.672958917,411530012187.9999,0.08036720768479365,0.12225551800686878,2770.4834956744803,4704.0,1.697898582447538,0.3882039905307062,569.6359573316582,2711.2900390625,1,221478.1066919226,170121009331.0,0.09712012821296147,0.12959619779079667,normal
7413.079070643803,11325.0,1.5277052749710465,-1.5225148519877367,3060.0330258150216,6752.0322265625,1,1809982.7575437124,4909327949883.001,0.09284790083027938,0.12742894701114188,2336.222121247183,3936.0,1.684771308431401,-1.4427286992239665,1012.1653381649135,2105.5771484375,1,507699.7412172579,537121777510.9998,0.08454841710517551,0.12425006379649656,3182.279023160917,4964.0,1.5598883579571607,-1.4627689809288207,1293.994765020509,2907.314453125,1,768036.6399278591,877877942262.0002,0.09233204064331164,0.12765547392458357,5857.45024728457,19932.0,3.4028458046639303,17.435943656036414,1891.7603727396354,5543.5517578125,2,777043.0965150247,1876299485206.9995,0.10591173685407285,0.12998728002065718,4153.275796382936,9254.0,2.228120754239161,3.2402625460046286,990.9926767968822,4033.3154296875,2,314278.6002877833,514884534991.0,0.1031622410486344,0.1299606803781358,2777.9613757706275,10836.0,3.9007021820071244,34.61958417748438,922.6996780059036,2620.2470703125,2,292878.8916098484,446364958695.0,0.10953809845516436,0.1304502340164899,normal
8893.30497206589,10998.0,1.2366606154343087,-0.3670686971455579,1109.861363509878,8823.779296875,4,451210.6092378633,645810652123.9999,0.07959682701479467,0.12218660003169143,2816.4221487068594,3986.0,1.4152707902223196,-0.5903708115488158,512.1980875416361,2769.4560546875,4,213035.26645205796,137545321003.0,0.06695146619881338,0.11564205768540575,3891.7522504781264,5572.0,1.431745815606696,0.337385024995112,547.9136412638792,3852.9892578125,2,188197.83397293987,157396140923.00003,0.08549573734396088,0.1245052694328169,5558.793534709077,11765.0,2.1164664466379985,2.6522996016244846,1486.5602402062648,5356.3349609375,2,485589.8378423399,1158562281135.0,0.11202428910815751,0.1332280133382846,5003.201031296895,12435.0,2.4854088257126628,9.084386886500221,1481.7106088902403,4778.7607421875,4,434628.8649587905,1151025768495.0,0.11282748343484861,0.13303196986345245,2930.4113509108024,8244.0,2.813256916111002,16.24397513587083,963.8073846933466,2767.37890625,9,189144.96011471612,486967391238.0,0.11212067360422148,0.13210994408269866,normal
8709.635998511218,10489.0,1.2042983199060142,-1.0205427231689634,1066.0315430699786,8644.150390625,4,341185.1655115423,595809593804.0001,0.07853626196510125,0.12169708037141021,2927.7694096052564,3636.0,1.2419010828076902,-0.6732980158923447,395.10299146205733,2900.9873046875,4,166996.25002429486,81844698527.00002,0.07494441880661139,0.11983324762028089,3801.8666605356093,5339.0,1.4043101656931436,-0.32628574668828225,566.8695718818709,3759.3681640625,2,233112.36823903833,168474898835.0,0.08983130397496299,0.12644604608868182,5437.0629899819305,11796.0,2.169553676632906,4.8440160158389425,1426.1715268879248,5246.68359375,2,643659.3382506361,1066345697014.0001,0.12013630957071998,0.13610533104906414,5552.344742243474,12604.0,2.2700319567886273,5.893691899567779,1612.51676555937,5313.033203125,4,622200.5370343458,1363230460790.0002,0.11872152555796023,0.13622002062389021,2880.5631117578923,8359.0,2.9018631690033816,20.917998903619814,929.4050053584026,2726.5087890625,2,248660.27053141338,452858211839.0,0.12143411540509004,0.13650604003441028,normal
7289.178079201557,10665.0,1.4631279252774443,-0.25616000321396415,2572.881083593352,6820.0,2,1155252.9976275095,3470637680477.999,0.08031926166603542,0.12326386119100992,2260.374686342123,3211.0,1.4205609447857679,-0.31156686231236463,793.1695399626761,2116.642578125,1,370740.3559688289,329838974781.99994,0.08086162842958812,0.12342287974949268,3364.8958705622026,6007.0,1.7851964016337771,-0.2582347605332185,1250.86667941084,3123.7568359375,2,626849.6316103858,820336351467.0,0.08306922329487128,0.12425464050726077,5178.823154032409,12753.0,2.462528574676291,5.844841762045579,1841.8435665659892,4840.2294921875,2,487722.22961991373,1778583943742.9998,0.11690013411630432,0.1349253022063423,6144.161083176094,14808.0,2.4100930622647865,3.7193206882174907,2216.3123418122086,5730.50390625,4,664327.510212815,2575321630384.0,0.1113395247372786,0.13401762991559824,2971.563870576243,8209.0,2.7625184440030623,8.969645702918344,1173.8919487311425,2729.8662109375,2,333324.06042721873,722478211503.0001,0.11293285489320896,0.13392815892061447,normal
7580.138108835711,11360.0,1.4986534330764147,0.14917796615306056,2535.068335102104,7143.6630859375,2,1136105.496808277,3369374298226.999,0.08410721030801518,0.1253293747240884,2302.3693354109423,3639.0,1.5805457204590883,-0.08512496690992988,779.8215440080602,2166.283203125,2,316419.2903409206,318830878075.99994,0.08094621142882948,0.1230295772408598,3423.2044232615585,5783.0,1.6893528065992849,0.3099704688120566,1182.6874107131396,3212.41015625,2,562280.6009808352,733347564261.9999,0.08086945368182427,0.12338368795277067,5394.0431901774755,12323.0,2.2845571615815237,5.186925741627306,1894.0959020260239,5050.5546875,2,404483.6272882836,1880924646878.0002,0.12188338114538817,0.13383541088149634,6766.890109417301,15915.0,2.351892781272082,5.428242786110902,2322.491137155883,6355.8505859375,4,601768.3474396685,2827981374687.0,0.11711257118083827,0.13321677637162405,3426.543739261227,8741.0,2.5509669991501656,6.398683379089535,1346.965066792047,3150.6962890625,8,336892.386310355,951220951474.9999,0.11814474140605415,0.13296931997695935,normal
7860.76406363036,11132.0,1.4161473248516347,4.110507950928597,1664.4744834869193,7682.521484375,4,745561.3886383114,1452520992268.0005,0.08503820953695641,0.12449676515859727,2423.9396117087854,3417.0,1.4096885844409073,2.9415511546517505,543.1091119152167,2362.3115234375,4,266398.18344021763,154647513219.0,0.0866344761964804,0.12553940816312853,3521.4674747583927,5344.0,1.5175491576467424,3.6583753090358426,758.0701898346299,3438.904296875,4,267588.7097065971,301287283500.00006,0.08937384862763456,0.1256968614760306,4961.882874293097,10646.0,2.1455564892826495,16.701889426437464,983.9076380743661,4863.353515625,2,262273.46537289856,507536548827.99994,0.10368822337977697,0.13105489023961756,6532.642962401876,11770.0,1.801720998337324,3.0592884506787996,1210.4826685371024,6419.513671875,4,356185.18962892686,768209248214.0001,0.10203371296363767,0.1312285325483386,3082.9345274885827,6565.0,2.1294646193307174,15.578769402405538,653.0822166542682,3012.966796875,8,153738.49222206883,223608667806.0,0.10040913602396075,0.12991581206498498,normal
