rms_x,peak_x,crest_x,kurtosis_x,std_x,mean_abs_x,dominant_freq_x,dominant_amp_x,spectral_energy_x,spectral_centroid_x,spectral_bandwidth_x,rms_y,peak_y,crest_y,kurtosis_y,std_y,mean_abs_y,dominant_freq_y,dominant_amp_y,spectral_energy_y,spectral_centroid_y,spectral_bandwidth_y,rms_z,peak_z,crest_z,kurtosis_z,std_z,mean_abs_z,dominant_freq_z,dominant_amp_z,spectral_energy_z,spectral_centroid_z,spectral_bandwidth_z,label
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,normal
6959.3228418426015,10709.0,1.5387991394238303,-1.8050220434212036,4438.940982974448,5359.8486328125,1,2754578.8922271645,10330614559982.996,0.07562924055466917,0.12048674834028232,2409.223972244486,4236.0,1.7582425082935105,-1.7659218808585522,1542.6999564726395,1850.5234375,1,911571.1919781634,1247756457006.0005,0.0774802901075562,0.12123907793868836,3101.137956303047,5691.0,1.835132806147199,-1.723906209140906,1997.4754526644763,2372.1611328125,1,1191292.7558991965,2091853704858.9995,0.07707418647672384,0.12121040336317755,normal
9065.489082379085,10989.0,1.2121794974481535,-0.537914033795313,1014.4134980648436,9008.5546875,4,513154.0757272108,539510562798.0,0.08022724258796486,0.12220689091389783,2888.1135092960117,4034.0,1.3967595065137528,-0.33720655695325563,370.10900706246616,2864.30078125,4,219634.19878888578,71817313687.99997,0.07746914265975453,0.1202861279650221,3925.1054134680176,5419.0,1.3805998639950043,0.016464720941621103,558.3438294640647,3885.1904296875,2,250321.14101831178,163445622871.00003,0.08538729774464872,0.12393836223639033,normal
8074.572185479279,11014.0,1.3640351150500298,0.261661090146426,2682.647707171194,7615.912109375,1,1185931.7589911907,3773070706213.9995,0.07746219405829843,0.12017801739077878,2658.007988658694,4175.0,1.570725151246375,0.015128825641053112,912.5100698626125,2496.4638671875,1,462896.47308424715,436560567291.0,0.0786034465152277,0.1219456318740129,3485.8084774139465,5160.0,1.480287868204424,-0.0533377473146226,1163.5909870010914,3285.8662109375,1,604613.6397368228,709850670663.0,0.08237417379951244,0.1239147099009108,normal
7413.079070643803,11325.0,1.5277052749710465,-1.5225148519877367,3060.0330258150216,6752.0322265625,1,1809982.7575437124,4909327949883.001,0.09284790083027938,0.12742894701114188,2336.222121247183,3936.0,1.684771308431401,-1.4427286992239665,1012.1653381649135,2105.5771484375,1,507699.7412172579,537121777510.9998,0.08454841710517551,0.12425006379649656,3182.279023160917,4964.0,1.5598883579571607,-1.4627689809288207,1293.994765020509,2907.314453125,1,768036.6399278591,877877942262.0002,0.09233204064331164,0.12765547392458357,normal
8893.30497206589,10998.0,1.2366606154343087,-0.3670686971455579,1109.861363509878,8823.779296875,4,451210.6092378633,645810652123.9999,0.07959682701479467,0.12218660003169143,2816.4221487068594,3986.0,1.4152707902223196,-0.5903708115488158,512.1980875416361,2769.4560546875,4,213035.26645205796,137545321003.0,0.06695146619881338,0.11564205768540575,3891.7522504781264,5572.0,1.431745815606696,0.337385024995112,547.9136412638792,3852.9892578125,2,188197.83397293987,157396140923.00003,0.08549573734396088,0.1245052694328169,normal
8709.635998511218,10489.0,1.2042983199060142,-1.0205427231689634,1066.0315430699786,8644.150390625,4,341185.1655115423,595809593804.0001,0.07853626196510125,0.12169708037141021,2927.7694096052564,3636.0,1.2419010828076902,-0.6732980158923447,395.10299146205733,2900.9873046875,4,166996.25002429486,81844698527.00002,0.07494441880661139,0.11983324762028089,3801.8666605356093,5339.0,1.4043101656931436,-0.32628574668828225,566.8695718818709,3759.3681640625,2,233112.36823903833,168474898835.0,0.08983130397496299,0.12644604608868182,normal
7289.178079201557,10665.0,1.4631279252774443,-0.25616000321396415,2572.881083593352,6820.0,2,1155252.9976275095,3470637680477.999,0.08031926166603542,0.12326386119100992,2260.374686342123,3211.0,1.4205609447857679,-0.31156686231236463,793.1695399626761,2116.642578125,1,370740.3559688289,329838974781.99994,0.08086162842958812,0.12342287974949268,3364.8958705622026,6007.0,1.7851964016337771,-0.2582347605332185,1250.86667941084,3123.7568359375,2,626849.6316103858,820336351467.0,0.08306922329487128,0.12425464050726077,normal
7580.138108835711,11360.0,1.4986534330764147,0.14917796615306056,2535.068335102104,7143.6630859375,2,1136105.496808277,3369374298226.999,0.08410721030801518,0.1253293747240884,2302.3693354109423,3639.0,1.5805457204590883,-0.08512496690992988,779.8215440080602,2166.283203125,2,316419.2903409206,318830878075.99994,0.08094621142882948,0.1230295772408598,3423.2044232615585,5783.0,1.6893528065992849,0.3099704688120566,1182.6874107131396,3212.41015625,2,562280.6009808352,733347564261.9999,0.08086945368182427,0.12338368795277067,normal
7860.76406363036,11132.0,1.4161473248516347,4.110507950928597,1664.4744834869193,7682.521484375,4,745561.3886383114,1452520992268.0005,0.08503820953695641,0.12449676515859727,2423.9396117087854,3417.0,1.4096885844409073,2.9415511546517505,543.1091119152167,2362.3115234375,4,266398.18344021763,154647513219.0,0.0866344761964804,0.12553940816312853,3521.4674747583927,5344.0,1.5175491576467424,3.6583753090358426,758.0701898346299,3438.904296875,4,267588.7097065971,301287283500.00006,0.08937384862763456,0.1256968614760306,normal
7820.465577610194,10700.0,1.3682049864951575,-0.39075539556387495,1188.5769147169833,7729.6162109375,4,622028.5532188894,740669421903.0,0.07888064132206152,0.12209073234100322,2521.3031829263164,3312.0,1.3136064010183701,-0.71750693094434,410.4013037616254,2487.677734375,4,220851.60698479644,88305289006.00002,0.0748864739677252,0.11992135663184315,3571.0305112263286,5084.0,1.423678678750382,-0.08749835215167945,545.9735031685232,3529.046875,4,227244.0537043952,156279226045.99997,0.08523921422876761,0.12391961580527981,normal
7922.601143494871,11294.0,1.4255419142579624,0.19697178291681983,1196.9067240856737,7831.66796875,4,611082.280691197,751081903543.9999,0.07828717593290035,0.12149842962121014,2419.3383764342475,3237.0,1.3379691040865753,-0.11547415863846622,366.367115447402,2391.4375,4,174621.82236350546,70372336062.0,0.07131359915588323,0.11758272645247524,3531.853896785962,5299.0,1.5003451883505619,1.0497165921539837,563.5916442197205,3486.5966796875,2,208039.9048923689,166532340867.00003,0.08652248241048566,0.12485436698903832,normal
8087.9498514041325,11585.0,1.4323778229150064,-0.245614083410699,1384.4814358958301,7968.572265625,2,637243.5363244042,1004948998172.0001,0.07683309140044062,0.12127040694554403,2551.953826008246,3490.0,1.3675796029033336,-0.10464614829007646,367.6096683328671,2525.337890625,4,134112.83477463867,70850290604.0,0.07808200798320798,0.12172459704456778,3665.032539903935,5674.0,1.5481445084655983,0.13854495984568738,691.6677264824373,3599.1748046875,2,301339.32372185314,250821587823.0,0.08597312319485889,0.12625821526873984,normal
7670.498782495544,10385.0,1.353888488151394,-0.34217575526526334,1213.500904472715,7573.900390625,4,508953.2517469107,772058049381.9999,0.07992752675175753,0.12188957878681499,2474.0240174394403,3302.0,1.334667722190303,-0.42543419411073247,417.8325371273739,2438.4853515625,4,157803.03442424187,91532092979.00002,0.07438321169281228,0.11969186035188396,3532.913437854797,5392.0,1.5262191091990214,0.08589461871081872,567.6261008629355,3487.015625,4,180514.86980998144,168924130912.00003,0.0838536007968359,0.12383176141906428,normal
6926.959964769222,10440.0,1.5071546613663471,-0.2555339752041057,2521.347307794187,6451.7890625,2,1240732.4159714873,3332999604671.9995,0.07871349025419036,0.12224984196186682,2215.8763058289996,3258.0,1.4702986766136854,-0.2910736213632301,813.9357850874608,2060.974609375,2,397184.52530143474,347336122780.00006,0.07729829597011267,0.12157959736878307,3187.1081922184962,5257.0,1.649457653441217,-0.20533320728782023,1194.6272014211656,2954.74609375,2,615213.2201605708,748228655064.0005,0.07788808722130894,0.12108177864987622,normal
