rms,peak,crest,kurtosis,std,mean_abs,dominant_freq,dominant_amp,spectral_energy,spectral_centroid,spectral_bandwidth,label
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,normal
6959.3228418426015,10709.0,1.5387991394238303,-1.8050220434212036,4438.940982974448,5359.8486328125,1,2754578.8922271645,10330614559982.996,0.07562924055466917,0.12048674834028232,normal
9065.489082379085,10989.0,1.2121794974481535,-0.537914033795313,1014.4134980648436,9008.5546875,4,513154.0757272108,539510562798.0,0.08022724258796486,0.12220689091389783,normal
8074.572185479279,11014.0,1.3640351150500298,0.261661090146426,2682.647707171194,7615.912109375,1,1185931.7589911907,3773070706213.9995,0.07746219405829843,0.12017801739077878,normal
7413.079070643803,11325.0,1.5277052749710465,-1.5225148519877367,3060.0330258150216,6752.0322265625,1,1809982.7575437124,4909327949883.001,0.09284790083027938,0.12742894701114188,normal
8893.30497206589,10998.0,1.2366606154343087,-0.3670686971455579,1109.861363509878,8823.779296875,4,451210.6092378633,645810652123.9999,0.07959682701479467,0.12218660003169143,normal
8709.635998511218,10489.0,1.2042983199060142,-1.0205427231689634,1066.0315430699786,8644.150390625,4,341185.1655115423,595809593804.0001,0.07853626196510125,0.12169708037141021,normal
7289.178079201557,10665.0,1.4631279252774443,-0.25616000321396415,2572.881083593352,6820.0,2,1155252.9976275095,3470637680477.999,0.08031926166603542,0.12326386119100992,normal
7580.138108835711,11360.0,1.4986534330764147,0.14917796615306056,2535.068335102104,7143.6630859375,2,1136105.496808277,3369374298226.999,0.08410721030801518,0.1253293747240884,normal
7860.76406363036,11132.0,1.4161473248516347,4.110507950928597,1664.4744834869193,7682.521484375,4,745561.3886383114,1452520992268.0005,0.08503820953695641,0.12449676515859727,normal
7820.465577610194,10700.0,1.3682049864951575,-0.39075539556387495,1188.5769147169833,7729.6162109375,4,622028.5532188894,740669421903.0,0.07888064132206152,0.12209073234100322,normal
7922.601143494871,11294.0,1.4255419142579624,0.19697178291681983,1196.9067240856737,7831.66796875,4,611082.280691197,751081903543.9999,0.07828717593290035,0.12149842962121014,normal
8087.9498514041325,11585.0,1.4323778229150064,-0.245614083410699,1384.4814358958301,7968.572265625,2,637243.5363244042,1004948998172.0001,0.07683309140044062,0.12127040694554403,normal
7670.498782495544,10385.0,1.353888488151394,-0.34217575526526334,1213.500904472715,7573.900390625,4,508953.2517469107,772058049381.9999,0.07992752675175753,0.12188957878681499,normal
6926.959964769222,10440.0,1.5071546613663471,-0.2555339752041057,2521.347307794187,6451.7890625,2,1240732.4159714873,3332999604671.9995,0.07871349025419036,0.12224984196186682,normal
7920.700103703744,11372.0,1.435731671583225,-0.26533566922026486,1412.642897375473,7793.7109375,5,570214.0581522625,1046244161752.0,0.08616102699554001,0.12559665041689896,normal
7845.402022181428,11320.0,1.4428833561358343,-0.05521675800072634,1276.8757764095983,7740.7958984375,5,515286.1921946812,854805201922.9999,0.07900978768078555,0.12331640046433737,normal
7774.931938319963,10963.0,1.4100444977488673,0.011709950394929614,1213.6850908325146,7679.6181640625,5,415662.7554709838,772292695994.9999,0.07521223056480822,0.1201305458740076,normal
7603.947437279288,10409.0,1.3688942599693148,-0.4599744325829045,1305.0593519255513,7491.1171875,5,503989.8015198642,892955233880.0001,0.07422626266463572,0.1192351496008444,normal
8222.346481100965,11672.0,1.4195461145827473,0.46616056455432675,1687.3068666875247,8047.3583984375,5,620636.8409386851,1492634421487.0002,0.10232231360420474,0.12887807996719358,normal
6759.054623345427,11417.0,1.6891415495543223,-1.0357715906610043,2625.939482221635,6228.1025390625,1,1055996.7511163391,3615243542139.0,0.08724141150440606,0.12682706841562888,normal
7774.537828971029,11267.0,1.449217978979363,-0.11885783423691487,1367.356304271746,7653.3505859375,5,486112.33189735725,980237670339.0001,0.09499464019011787,0.12580919661734372,normal
6501.777454088997,11071.0,1.7027651404828381,-1.3785023617279875,2649.163514910232,5937.595703125,1,1288049.2878431932,3679475742494.0,0.07031136205653642,0.1179496243881969,normal
7842.645282078478,12454.0,1.587984608772132,0.012474242480510878,1573.826660838787,7683.1083984375,4,639946.2940073678,1298619282587.0,0.0804901964255973,0.12177940054260954,normal
7609.255736360037,10582.0,1.3906747738067224,-0.3585603327488447,1230.8246121754673,7509.05078125,4,509512.9211526213,794256276119.9998,0.09501939969752646,0.1272240463404622,normal
7360.177526174004,10413.0,1.4147756576481554,-1.0188413079980725,1393.923592551815,7226.9765625,5,616222.0613885239,1018699258238.0,0.07947847361805495,0.12194079339661903,normal
7414.518808995315,10260.0,1.3837715250722054,-0.6622255353376096,1452.747109576192,7270.8056640625,5,680654.8599417211,1106486185171.0,0.07656698550894214,0.11992166929670033,normal
7926.776159401122,11073.0,1.3969108976121989,-0.0366861796295983,1688.0586127957065,7744.94921875,5,864250.2585610875,1493975777254.0,0.08538952411558834,0.1251064839246701,normal
7949.713754243863,11739.0,1.4766569417336908,-0.5928173043691518,1610.8509475899762,7784.7998046875,5,745112.9421901938,1360443647183.0,0.07398209333400001,0.11841166919779747,normal
7660.888652136232,11768.0,1.5361142204721254,-0.3636732223657839,2552.337082944814,7223.2119140625,1,953343.0942921583,3415433896262.9995,0.07684861585401269,0.12332677951871185,normal
7664.787992292864,11223.0,1.4642283663011955,-0.533119074675029,1391.3108610387994,7537.455078125,4,541879.1763090366,1014888307733.9999,0.07831051809545506,0.12095194424615544,normal
8037.246600787797,12009.0,1.4941684132004731,-0.5729403725551232,1478.389544305066,7900.107421875,2,588102.843654114,1145902428556.0,0.07144056440117799,0.11792805936012157,normal
8045.73374133916,11471.0,1.4257245353598698,-0.4662853095930113,1410.9795573890842,7921.0458984375,4,551803.3354982028,1043785469251.0,0.08021941661573533,0.12209204049722845,normal
8046.490787308116,10818.0,1.3444370081257582,-0.8898420533810314,1390.709745815759,7925.3984375,4,554485.5019814458,1014010801822.0002,0.07797683611970026,0.12061047168280062,normal
